,state,gender,avg_fam_income,pobc2,avggift,domain,target_d,med_fam_income_binned,med_home_val_transformed
38,ID,F,357.0,39,20,T2,15.0,Low,-0.30558734509610036
39,CT,Male,750.0,51,8,0,11.0,Moderate,1.4380503396406175
40,CA,Female,356.0,36,7,U3,5.0,Low,1.136537195084464
41,AL,F,472.0,68,33,0,35.0,Moderate,-0.2300892042052435
42,ND,Female,376.0,85,10,C2,10.0,Low,-0.12829934970586074
43,TX,Male,446.0,56,6,S1,10.0,Low,0.6083001574925464
44,CA,Female,257.0,34,13,U4,15.0,Low,0.7313893596697658
45,IL,Female,355.0,60,11,U2,25.0,Low,-0.48880960900800685
46,SC,Female,316.0,80,5,T2,10.0,Low,-0.7653108354401434
47,IA,Female,256.0,78,4,T2,6.0,Low,-0.8893773069783252
48,CO,Male,380.0,78,13,R3,15.0,Low,-0.9936485115752133
49,TX,Male,490.0,84,11,T1,18.0,Moderate,-0.35575068280833316
50,CA,Male,407.0,28,15,U1,24.0,Low,1.9805130044186723
51,CA,F,373.0,36,9,0,14.0,Low,1.1758193868475701
52,FL,Female,536.0,47,14,S1,20.0,Moderate,-0.4667232853380062
53,Cali,Male,485.0,38,15,S2,21.0,Moderate,0.7041123510746292
54,NC,Female,382.0,66,12,C2,15.0,Low,-0.308881828933355
55,TX,Female,444.0,50,26,U1,41.0,Low,0.39277486410169926
56,LA,Male,337.0,52,15,T2,20.0,Low,-0.4925223185667311
57,Cali,Female,376.0,48,13,S2,5.0,Moderate,0.5820933435729995
58,LA,Female,538.0,64,5,T1,16.0,Moderate,0.21254115753032812
59,IA,Female,329.0,76,15,R2,15.0,Low,-0.8627031243843128
60,Cali,Female,428.0,57,12,S3,12.0,Moderate,0.5604620555205226
61,OR,Male,463.0,34,9,C2,10.0,Moderate,-0.4270494369634587
62,NC,Male,300.0,86,8,R2,10.0,Low,-0.9115925934441412
63,IL,Female,399.0,85,8,T2,14.0,Moderate,-0.7320964302729692
64,TX,Male,788.0,70,13,T1,20.0,Moderate,0.15636997291470572
65,Cali,Male,780.0,44,15,S1,15.0,Moderate,2.062589908509255
66,Cali,Male,903.0,44,20,S1,20.0,High,1.9760327009296161
67,IL,Female,224.0,89,5,T3,10.0,Low,-1.6365474757674288
68,Cali,Male,0.0,0,20,U4,25.0,Low,-4.179470003798405
69,WA,Male,383.0,52,7,C2,11.0,Low,-0.14012045617570848
70,SD,Female,309.0,62,11,C2,10.0,Low,-0.8796178702847458
71,AL,Female,250.0,64,7,C3,11.0,Low,-0.9066246933694793
72,TN,Female,352.0,85,6,R2,16.0,Low,-0.9520001058756956
73,Cali,Female,663.0,53,9,C1,10.0,Moderate,1.3378720392740937
74,Cali,F,497.0,53,8,S1,15.0,Moderate,1.0821949883501545
75,CO,Female,379.0,42,8,C2,7.0,Low,0.014031566569612535
76,NM,Female,268.0,50,12,R2,14.0,Low,-0.4777260548940324
77,Cali,Female,614.0,45,14,C2,25.0,Moderate,1.8803844408246262
78,LA,Female,613.0,57,15,S1,20.0,Moderate,0.050096733654287864
79,CO,Male,737.0,29,6,S1,10.0,Moderate,0.38080425931019846
80,AZ,Male,215.0,23,5,R2,6.0,Low,-0.774300870362287
81,IL,F,400.0,74,20,S2,25.0,Moderate,0.17120089054117174
82,IL,Female,680.0,75,9,C1,11.0,Moderate,0.6568179172653389
83,Cali,Female,564.0,47,15,C2,10.0,Moderate,1.03408848656259
84,TN,Male,410.0,56,5,T2,26.0,Low,0.005910292953173474
85,Cali,Female,368.0,25,6,U2,10.0,Low,1.1431370905064573
86,Cali,Male,1128.0,47,30,U1,38.0,Very High,2.7073668684540175
87,MO,Female,319.0,74,7,T2,15.0,Low,-0.7675529970318065
88,MN,Male,781.0,63,14,S1,14.0,Moderate,0.6624440635182482
89,AZ,Male,640.0,12,7,C1,9.0,Moderate,1.1865982241174562
90,MO,Male,624.0,58,7,S1,10.0,Moderate,0.23759017105088412
91,FL,F,373.0,53,9,S2,15.0,Low,-0.5493454408970703
92,LA,Male,342.0,90,10,R2,14.0,Low,-0.5845103429262625
93,NM,Female,324.0,26,5,T2,5.0,Low,-0.26979745467896693
94,IA,Female,379.0,75,12,S2,15.0,Moderate,-0.6805082540170875
95,MN,Male,316.0,86,10,R2,20.0,Low,-0.5609745744020592
96,Cali,Male,609.0,55,13,S1,19.0,Moderate,1.3245050069661783
97,SC,Male,376.0,15,10,S2,25.0,Low,-0.4306136990403411
98,FL,Male,301.0,21,20,C3,20.0,Low,-0.13863809209620834
99,IN,Male,290.0,70,5,T2,5.0,Low,-0.6491784405238097
100,KY,Female,179.0,94,4,R3,5.0,Low,-1.6232845950073163
101,KY,Female,279.0,82,6,R2,20.0,Low,-0.8918280088526526
102,Cali,Female,734.0,51,15,S2,30.0,Moderate,1.5578928823050064
103,OK,Female,299.0,64,20,S1,20.0,Low,-1.0586526949443555
104,CT,Female,517.0,71,28,T1,40.0,Moderate,0.5245085260208187
105,NJ,F,464.0,61,6,S1,6.0,Moderate,0.5898969879329052
106,Cali,Female,495.0,68,5,S2,6.0,Moderate,-0.04646761675390776
107,FL,Male,326.0,7,10,U1,10.0,Low,-0.14012045617570848
108,Cali,Male,520.0,53,10,C3,15.0,Moderate,1.0647656962350969
109,TX,Female,394.0,75,10,S2,30.0,Low,-0.47956766676010193
110,Cali,Female,591.0,49,7,U1,10.0,Moderate,1.857406803622289
111,NE,Female,273.0,68,2,R3,2.0,Low,-1.8356447174427175
112,MI,Male,402.0,55,14,T2,20.0,Low,-0.7320964302729692
113,AR,F,468.0,21,17,C1,30.0,Moderate,-0.042271709530414904
114,GA,Female,584.0,65,5,T2,5.0,Moderate,0.03416359340389158
115,LA,Female,302.0,62,24,U2,20.0,Low,-0.30723371991100706
116,MI,Male,400.0,27,12,R2,22.0,Low,-0.49066481922708577
117,WA,Female,346.0,56,8,C3,11.0,Low,-0.004980044157254973
118,WA,Male,406.0,34,10,S2,11.0,Low,-0.3405311509978823
119,Cali,Male,847.0,48,10,S1,25.0,High,2.651518494140569
120,Cali,Male,848.0,35,28,U1,47.0,High,2.8706920691252136
121,Cali,Female,781.0,44,11,S2,15.0,Moderate,1.572862963102422
122,KS,Female,482.0,66,6,S2,11.0,Moderate,-0.6868564596548636
123,Cali,Female,581.0,49,5,S1,7.0,Moderate,0.9512384594228748
124,Cali,Male,508.0,49,14,C2,10.0,Low,0.5683573051652161
125,IL,Female,286.0,74,8,C3,20.0,Low,-1.0923908148032386
126,NC,Male,530.0,70,13,C1,25.0,Moderate,0.09443836153447582
127,FL,F,843.0,31,6,C1,10.0,Moderate,2.001306713685308
128,NC,Male,451.0,74,7,T2,23.0,Moderate,-0.18066762106432024
129,IN,Male,428.0,74,7,T2,12.0,Moderate,-0.18981857764853888
130,FL,Female,459.0,17,15,C1,10.0,Moderate,0.046127610574949164
131,MN,Female,254.0,78,25,R3,25.0,Low,-1.0642160708225616
132,Cali,Female,418.0,46,20,T2,20.0,Low,-0.0366937095969986
133,AL,Female,300.0,86,4,R2,5.0,Low,-0.9443317909648807
134,FL,Male,332.0,3,2,C1,3.0,Low,1.7630818712318455
135,SD,Female,372.0,69,9,R2,5.0,Low,-0.8039203100810107
136,MI,Male,404.0,80,17,U4,20.0,Low,-1.2528838406280967
137,IN,Female,605.0,69,10,T1,15.0,Moderate,0.33993953470680593
138,CA,Female,362.0,51,5,T2,7.0,Low,0.25526405885371434
139,NC,Male,330.0,32,8,C2,13.0,Low,0.06849643312366985
140,GA,Male,280.0,79,12,R2,15.0,Low,-1.1838131083390535
141,MO,Female,555.0,49,25,C1,30.0,Moderate,-0.13863809209620834
142,TX,Female,312.0,35,6,S2,10.0,Low,-0.4359757647229136
143,IN,Male,601.0,58,7,C1,10.0,Moderate,0.4100450795094992
144,CA,Female,543.0,44,8,C2,10.0,Moderate,0.9195590141688078
145,IL,Male,1065.0,57,13,S1,30.0,Very High,2.738476635090219
146,NV,Female,570.0,14,5,S1,6.0,Moderate,0.29696659360350497
147,OK,Female,248.0,62,6,R3,8.0,Low,-1.2496612142453147
148,CA,F,823.0,46,40,S1,75.0,High,1.7283284727421913
149,CO,Female,541.0,32,8,U2,16.0,Low,-0.8723433363630371
150,MO,Female,340.0,71,11,C3,25.0,Low,-0.6225615986131887
151,FL,Male,335.0,22,7,U3,10.0,Low,-0.47956766676010193
152,GA,Male,210.0,77,5,T3,10.0,Low,-1.1625973796955673
153,ID,Male,566.0,50,13,C1,10.0,Moderate,0.2304700916949935
154,CA,F,456.0,55,8,0,5.0,Moderate,1.1700473480501772
155,GA,Male,441.0,70,4,T3,16.0,Low,-0.3849135984383983
156,MI,Female,394.0,80,10,R2,23.0,Low,-0.6932327350632366
157,CA,Female,318.0,49,8,R2,21.0,Low,-0.42171860339956496
158,MN,Female,327.0,88,12,R2,15.0,Low,-0.7430819643675886
159,CA,Female,376.0,21,7,U1,10.0,Low,1.674871706949104
160,FL,Male,313.0,6,4,T2,3.0,Low,-0.053484615372634575
161,MN,Female,442.0,80,8,S1,10.0,Moderate,-0.24902492107925941
162,MO,Female,347.0,79,2,C2,2.0,Low,-0.5244565280321947
163,WI,Male,444.0,71,7,S2,10.0,Moderate,-0.4630734124323042
164,WI,Male,447.0,85,13,S1,16.0,Moderate,-0.16703821636690444
165,CA,Female,672.0,33,10,U1,20.0,Moderate,1.7989192899553055
166,CA,Female,785.0,36,9,S1,10.0,Moderate,2.7282706769238483
167,CA,Male,466.0,49,5,C2,6.0,Moderate,0.5525328715246388
168,CO,Male,230.0,33,12,S2,10.0,Low,-0.5263563847936111
169,FL,Female,438.0,19,13,R1,20.0,Low,-0.010452076574186212
170,NE,Female,381.0,75,7,T2,10.0,Low,-0.813160916914653
171,IN,Male,407.0,86,4,R2,7.0,Low,-0.49438211359878576
172,FL,Male,544.0,30,8,T1,5.0,Moderate,0.3731446446989989
173,FL,Male,208.0,35,9,T2,10.0,Low,-0.8796178702847458
174,IL,Female,744.0,45,7,U1,10.0,Moderate,1.308350963241547
175,NC,Male,433.0,84,9,R2,45.0,Moderate,-0.32379355603606685
176,OR,Female,187.0,42,16,U4,20.0,Low,-1.0096050767928546
177,CA,F,408.0,47,5,U3,4.0,Moderate,0.7618372708354298
178,MI,Female,316.0,71,27,U4,30.0,Low,-1.0895460081751513
179,CA,Female,566.0,62,6,C1,5.0,Moderate,0.9752652897244324
180,IL,Female,423.0,84,17,S2,20.0,Moderate,-0.2113764117389616
181,IL,Female,523.0,60,12,U1,15.0,Moderate,0.6131129660544354
182,TX,Male,248.0,84,5,R3,12.0,Low,-1.0149664700943204
183,IN,F,331.0,60,19,R2,26.0,Low,-0.5884696878039583
184,NC,Male,261.0,85,7,R2,10.0,Low,-0.7103755866668834
185,CA,Male,850.0,36,12,C1,10.0,High,2.307642631703641
186,IN,Male,425.0,60,16,T2,23.0,Moderate,-0.1761116339566059
187,CO,Male,732.0,24,15,T1,21.0,Moderate,0.6217448006282762
188,KY,Female,471.0,71,8,C2,10.0,Moderate,-0.7320964302729692
189,IL,Female,385.0,92,6,R2,10.0,Low,-0.49624421092475324
190,CA,Female,669.0,42,9,S1,20.0,Moderate,1.372888260693818
191,CA,Male,651.0,51,10,S1,16.0,Moderate,1.4557665483960693
192,FL,F,427.0,22,3,U3,3.0,Low,-0.3422148588029087
193,FL,Male,411.0,13,6,U2,8.0,Low,-0.23480199406914454
194,CA,Female,805.0,55,15,U1,15.0,Moderate,2.008196537366212
195,NE,Female,353.0,75,5,T2,7.0,Low,-0.8483673943587275
196,IN,Female,388.0,80,15,C2,20.0,Low,-0.7103755866668834
197,IN,Male,373.0,67,13,S2,15.0,Low,-0.38145392216037705
198,FL,Female,494.0,14,4,C1,3.0,Moderate,0.31065031038961904
199,FL,Female,400.0,17,25,S2,25.0,Low,0.015381275367149793
200,FL,Male,497.0,15,9,C1,20.0,Moderate,0.48268346937641204
201,ID,Female,294.0,43,15,R2,10.0,Low,-0.8247980488579699
202,CO,Female,302.0,60,5,C2,8.0,Low,-0.4234934807924261
203,OK,Female,456.0,65,13,T2,11.0,Moderate,-0.532070499225487
204,TX,Female,379.0,50,11,C1,25.0,Low,-0.7146934717430615
205,FL,Male,295.0,68,10,S3,19.0,Low,-1.0339027918531611
206,TX,Male,377.0,86,9,R2,15.0,Low,-0.8820512594760466
207,CA,Female,249.0,38,4,U3,8.0,Low,0.6083001574925464
208,TX,Male,256.0,84,40,R3,200.0,Low,-1.3191413780440877
209,KY,Female,341.0,62,11,S2,10.0,Low,-0.543564828696288
210,IL,Female,348.0,72,8,U3,10.0,Low,-0.6044143927362858
211,CA,Male,390.0,54,6,S3,7.0,Moderate,-0.02697728915689461
212,CA,Male,358.0,37,12,S2,17.0,Low,1.4469268538906221
213,CA,Female,503.0,41,39,U1,50.0,Moderate,0.8940077631584288
214,CA,F,428.0,49,10,0,10.0,Low,0.32648166305931126
215,TX,Female,724.0,49,7,S1,13.0,Moderate,0.5986370136410806
216,AL,F,472.0,73,14,T2,15.0,Moderate,-0.31549169232817825
217,FL,Male,772.0,44,25,0,150.0,Moderate,0.5830705984907246
218,CA,Female,661.0,36,8,C1,15.0,Moderate,1.4802002108475414
219,CA,Female,537.0,47,6,U2,20.0,Moderate,1.6346367315553911
220,TX,Female,402.0,86,9,C2,15.0,Moderate,-0.6409367675795505
221,WA,Male,232.0,55,7,T3,10.0,Low,-0.3304670151088397
222,IL,Male,456.0,60,12,U3,15.0,Moderate,-0.40057916211714145
223,CA,Female,654.0,41,7,U1,10.0,Moderate,1.7020427899990829
224,CA,Female,679.0,61,9,T1,10.0,Moderate,1.278406160615954
225,TX,Female,825.0,31,6,S1,10.0,High,0.42182272939683463
226,WI,Male,548.0,79,15,S1,20.0,Moderate,-0.11656375084889076
227,WA,Female,472.0,46,10,T2,32.0,Moderate,0.13262194267446714
228,AL,Female,398.0,77,7,S2,15.0,Low,-0.5944287233426877
229,MT,Male,358.0,37,4,R1,2.0,Low,-0.30723371991100706
230,IL,Female,624.0,65,13,U1,20.0,Moderate,0.7996628187359774
231,WA,Female,486.0,32,10,S2,21.0,Moderate,-0.11218465455239861
232,GA,Female,434.0,22,9,C1,14.0,Low,-0.5454892044764201
233,CA,Male,525.0,48,19,U2,20.0,Moderate,0.9129970075093914
234,AL,Female,562.0,58,9,C2,10.0,Moderate,-0.0832874814922902
235,OR,Male,170.0,36,4,C3,7.0,Low,-1.127020151597878
236,TX,F,718.0,63,8,S1,10.0,Moderate,0.5133807929322155
237,UT,Female,302.0,63,20,U2,20.0,Low,-0.3354909437143729
238,IL,Female,474.0,69,20,U3,30.0,Moderate,-0.5864886863707235
239,FL,Male,616.0,35,4,C2,4.0,Moderate,0.4356431548922698
240,TN,Female,310.0,55,13,R2,21.0,Low,-0.7675529970318065
241,CA,Male,1085.0,42,20,S1,36.0,Very High,2.9630163838141215
242,AL,Female,453.0,77,7,C1,5.0,Moderate,-0.42527042345007415
243,CA,Male,425.0,45,17,S2,20.0,Low,0.962487368115107
244,CA,Female,582.0,29,19,S1,10.0,Moderate,0.9472053887926991
245,CA,Male,918.0,47,9,S1,20.0,High,2.7003605205264045
246,CA,Male,454.0,32,6,U1,7.0,Moderate,2.1768794557947
247,OK,Female,949.0,54,11,S1,12.0,High,0.6829303550351807
248,WA,Female,416.0,57,10,S2,11.0,Low,-0.30394270025566306
249,AZ,Male,516.0,34,8,T1,15.0,Moderate,0.19442473817060055
250,TX,Male,303.0,75,6,C3,4.0,Low,-1.2400424570002
251,TX,Male,896.0,32,9,S1,20.0,High,1.0325422101375004
252,FL,Male,577.0,37,18,S1,20.0,Moderate,0.5850235628613072
253,IA,Male,288.0,86,11,R3,15.0,Low,-1.5759293700929629
254,MI,Male,349.0,42,17,C1,18.0,Low,-0.48880960900800685
255,GA,Female,548.0,46,7,T1,8.0,Moderate,0.09057235074990733
256,MI,Female,465.0,74,13,S1,25.0,Moderate,-0.031134480525949144
257,NV,Female,548.0,26,53,S2,25.0,Moderate,0.2992546077879125
258,HI,Female,581.0,52,13,S1,10.0,Moderate,1.857931618350784
259,TX,Male,320.0,82,12,T2,14.0,Low,-0.874763926150429
260,SD,Female,290.0,85,14,R3,20.0,Low,-1.7536148756791816
261,FL,Female,371.0,26,7,T2,11.0,Low,0.5315547947951476
262,CA,F,447.0,33,11,U1,19.0,Moderate,1.908270259022394
263,CA,Female,218.0,27,5,U4,5.0,Low,0.6652508268328147
264,WA,Male,470.0,63,18,T2,20.0,Moderate,0.541574208257787
265,MO,Male,611.0,77,2,S1,1.0,Moderate,0.3676532930499152
266,IL,Female,278.0,64,10,R3,20.0,Low,-1.6819141952278516
267,OR,Female,466.0,59,4,T2,5.0,Moderate,-0.19748449084367958
268,TX,Male,219.0,72,4,0,5.0,Low,-1.208497796381408
269,OR,Female,309.0,18,10,T2,20.0,Low,0.19442473817060055
270,AZ,Male,454.0,1,9,C2,9.0,Moderate,-0.05207882265543806
271,CA,Female,363.0,39,4,C2,6.0,Low,1.3365391687673707
272,LA,Male,325.0,87,9,T3,10.0,Low,-0.409351824357078
273,IN,Female,383.0,70,25,C2,20.0,Low,-0.5493454408970703
274,CA,Male,559.0,56,8,S1,5.0,Moderate,1.7227617976813636
275,MO,Male,342.0,96,15,S3,21.0,Low,-0.6144684211459475
276,FL,Male,459.0,47,7,T2,6.0,Moderate,-0.14755271724335495
277,IL,Female,355.0,60,6,U3,11.0,Low,-0.48880960900800685
278,IN,Female,347.0,62,8,R2,11.0,Low,-0.8723433363630371
279,FL,Male,391.0,30,7,C2,10.0,Low,-0.31880714053213866
280,CA,Female,725.0,39,6,U1,10.0,Moderate,2.0649887527055686
281,MI,Female,330.0,53,15,C3,15.0,Low,-1.0421015546420218
282,SC,Female,498.0,63,9,T2,16.0,Moderate,-0.3659807262886526
283,UT,Female,437.0,61,10,U1,12.0,Low,-0.029747589047249782
284,California,Male,372.0,69,5,C2,25.0,Low,0.8074863011730754
285,IN,Female,423.0,78,14,T2,26.0,Moderate,-0.8388917635746705
286,TX,Female,381.0,85,22,S2,50.0,Moderate,-0.5358921010692261
287,MI,Female,231.0,46,10,C3,12.0,Low,-0.9165785806281893
288,IN,Female,403.0,84,12,T3,10.0,Low,-0.667894915060578
289,WI,F,422.0,68,15,S2,15.0,Moderate,-0.3918563681354176
290,WI,Female,253.0,76,10,R3,20.0,Low,-1.2241720757807828
291,OK,Male,517.0,63,13,C1,10.0,Moderate,-0.4521762544282379
292,SC,Female,269.0,77,14,C3,10.0,Low,-0.9726636726097851
293,TX,Female,327.0,63,5,S2,7.0,Low,-0.32379355603606685
294,MI,Male,501.0,82,13,T2,15.0,Moderate,0.3174525553231497
295,AL,F,299.0,90,7,R3,10.0,Low,-0.8201315758853263
296,CA,Male,621.0,59,6,U1,10.0,Moderate,1.9123726058432995
297,IL,Male,472.0,64,4,C2,3.0,Moderate,0.46505584460353505
298,CA,Female,240.0,39,6,S1,10.0,Low,-0.39011773577772485
299,SC,Male,302.0,88,13,T2,24.0,Low,-0.9520001058756956
300,CA,Female,338.0,43,13,U2,15.0,Low,1.8262250460618308
301,TX,Female,283.0,83,9,R3,12.0,Low,-1.2691219922187142
302,CA,Female,337.0,32,20,U2,20.0,Low,0.9088845628370366
303,FL,Male,309.0,16,17,C3,25.0,Low,-0.4667232853380062
304,CA,Female,381.0,50,15,U2,30.0,Low,0.07371678671736018
305,MO,Male,222.0,63,3,R3,3.0,Low,-1.0366300959261934
306,AR,Male,256.0,57,9,R3,10.0,Low,-1.0122830859661125
307,WI,Female,545.0,52,15,U1,21.0,Moderate,0.019423865498976185
308,ND,Female,358.0,81,3,T2,3.0,Low,-0.37800199741197754
309,NE,Female,280.0,81,6,R2,10.0,Low,-1.4711256077082469
310,MI,Female,416.0,89,8,R2,15.0,Moderate,-0.6205341057183635
311,WI,Female,318.0,82,13,C2,25.0,Low,-0.8085330045034557
312,FL,Male,324.0,52,16,T2,20.0,Low,-0.15501931433725177
313,KS,Female,376.0,57,10,R2,25.0,Low,-0.3849135984383983
314,WI,Female,371.0,91,6,R3,17.0,Low,-0.8224628656722361
315,OR,Male,426.0,34,9,T1,8.0,Low,-0.13715708396843104
316,GA,Male,375.0,35,11,S2,20.0,Low,-0.08758960035860552
317,MI,Female,286.0,63,8,U4,10.0,Low,-1.6681114230853795
318,FL,Male,324.0,12,12,T2,10.0,Low,-0.5590300466871121
319,CA,Male,660.0,59,10,T1,12.0,Moderate,1.3735433733392943
320,MI,Male,433.0,70,33,S3,50.0,Moderate,-0.9804947164634821
321,TX,Female,935.0,36,5,U4,5.0,High,0.810953219876136
322,NC,Male,481.0,67,14,T2,20.0,Moderate,0.25877745370779426
323,IL,Female,457.0,82,18,S2,10.0,Moderate,-0.009082377707507184
324,IL,Female,275.0,78,9,T2,10.0,Low,-1.1124794433742016
325,TX,Male,378.0,76,11,R2,10.0,Low,-0.31714853645508767
326,NC,Female,315.0,94,6,R3,10.0,Low,-0.9190784048399766
327,TX,Female,527.0,57,9,S1,14.0,Moderate,-0.040875441722254505
328,CA,Male,272.0,57,11,T3,16.0,Low,-0.43239895890525193
329,KS,Female,288.0,41,12,T1,20.0,Low,-0.8507464247666535
330,WI,Female,158.0,67,15,C3,15.0,Low,-1.0475956608562207
331,California,Female,521.0,80,8,T2,5.0,Moderate,0.8664354899471168
332,NE,Female,449.0,58,6,S2,5.0,Moderate,-0.38318278883131196
333,SC,Female,741.0,26,9,S1,15.0,Moderate,0.5703258547596423
334,California,F,606.0,46,20,U1,20.0,Moderate,2.1162114514996246
335,FL,Female,807.0,4,12,C1,21.0,High,1.022462114235508
336,California,Female,351.0,57,5,T1,7.0,Low,0.6436242210751124
337,MI,Male,373.0,89,8,T2,10.0,Low,-0.5884696878039583
338,California,Male,1217.0,41,38,S1,50.0,Very High,2.9766541959764643
339,CO,Male,606.0,46,12,S1,16.0,Moderate,0.5634267326873015
340,FL,Male,640.0,9,3,S2,5.0,Moderate,0.9680878755725514
341,FL,Female,280.0,39,13,C2,15.0,Low,-0.5984148570937919
342,SC,F,533.0,40,7,S1,10.0,Moderate,0.12125657912072695
343,TN,Female,432.0,61,8,S2,16.0,Moderate,-0.2762443994843078
344,MS,Male,244.0,91,8,R3,20.0,Low,-1.0475956608562207
345,GA,Female,508.0,51,11,S2,15.0,Moderate,-0.17156852714806065
346,California,Female,350.0,36,13,U3,15.0,Low,0.9269151178989444
347,KY,Female,450.0,82,6,R2,5.0,Moderate,-0.4395609901889853
348,WA,Female,416.0,34,8,T2,10.0,Moderate,-0.33884926559541734
349,California,Female,470.0,46,15,S2,5.0,Moderate,0.5996055923342042
350,NV,F,361.0,6,10,S1,10.0,Low,0.7013629173958397
351,TX,Female,302.0,70,4,R2,7.0,Low,-0.6762915701264005
352,California,Female,307.0,40,9,T2,15.0,Low,0.3185837195076103
353,WA,Male,354.0,56,16,R2,25.0,Low,-0.691104173258337
354,California,Male,745.0,46,14,T1,25.0,Moderate,1.642742893017796
355,California,Female,517.0,53,11,R1,15.0,Moderate,0.6615075427655004
356,NC,Female,341.0,87,8,R3,10.0,Low,-0.8412546296426426
357,IN,Female,364.0,39,12,R2,12.0,Low,-0.8412546296426426
358,ID,Male,366.0,32,18,T2,25.0,Low,-0.41463963548203286
359,FL,Female,506.0,25,15,S1,26.0,Moderate,0.08281373843479793
360,MN,F,304.0,86,3,S2,5.0,Low,-1.2988919281076758
361,FL,Male,507.0,30,50,C1,25.0,Moderate,-0.31218326661374823
362,California,Female,402.0,50,23,C2,23.0,Moderate,0.9560672766566293
363,WA,Male,0.0,0,5,S1,6.0,Low,-4.179470003798405
364,California,Female,677.0,14,9,S1,10.0,Moderate,1.5906919231333103
365,California,Female,351.0,43,30,S3,50.0,Low,0.6838562731889329
366,California,Female,391.0,51,19,C2,25.0,Low,0.6745765455687118
367,TX,F,364.0,73,37,R2,10.0,Low,-0.5037157562462286
368,IL,Female,533.0,82,7,S1,10.0,Moderate,0.30153965220809686
369,TX,Female,294.0,49,12,C2,10.0,Low,-0.8531295365084859
370,NE,Female,477.0,47,15,S1,15.0,Moderate,-0.3676923317317706
371,California,F,362.0,36,24,U3,47.0,Low,0.964889530011703
372,TX,Male,263.0,81,18,R3,26.0,Low,-1.498434842203735
373,MI,Male,274.0,65,5,R3,9.0,Low,-1.3748228573148267
374,California,Male,620.0,57,9,T1,10.0,Moderate,1.2417532053370917
375,WI,Male,801.0,67,11,S1,14.0,Moderate,0.5889233273655627
376,TN,Male,244.0,79,8,R2,10.0,Low,-0.9417852758774374
377,California,Female,746.0,51,12,S1,25.0,Moderate,1.7565038228372554
378,FL,Male,488.0,4,7,C1,10.0,Moderate,0.5928149062775068
379,NC,Female,335.0,81,5,R2,12.0,Low,-0.4040822057645899
380,California,Male,1191.0,52,15,S1,15.0,Very High,2.920654746658931
381,California,Female,444.0,28,11,U1,21.0,Low,1.251498373936513
382,MI,F,619.0,64,3,S1,5.0,Moderate,0.24350140055235558
